adu manis	adjektiva
kaisukan	adjektiva
kaenjingan	adjektiva
pait	adjektiva
pailit	adjektiva
katempo	adjektiva
kaweur	adjektiva
panjang	adjektiva
parna	adjektiva
wales	adjektiva
serak	adjektiva
pas	adjektiva
tangtu	adjektiva
tangtos	adjektiva
potong	adjektiva
peunggas	adjektiva
nurut	adjektiva
baal	adjektiva
patriotik	adjektiva
jiwa kapahlawanan	adjektiva
satia	adjektiva
tuhu	adjektiva
taat	adjektiva
layak	adjektiva
ripuh	adjektiva
rada asin	adjektiva
hanta	adjektiva
pecak	adjektiva
peurih	adjektiva
pegel	adjektiva
pejel	adjektiva
peka	adjektiva
torek	adjektiva
liket	adjektiva
cadel	adjektiva
salah	adjektiva
keliru	adjektiva
luput	adjektiva
alon	adjektiva
anca	adjektiva
ruwed	adjektiva
pedit	adjektiva
panasaran	adjektiva
puyeng	adjektiva
pondok	adjektiva
pendek	adjektiva
eungap	adjektiva
lieur	adjektiva
pengkor	adjektiva
mengkol	adjektiva
pincang	adjektiva
mintul	adjektiva
rieut	adjektiva
utama	adjektiva
perlu	adjektiva
penting	adjektiva
pinuh	adjektiva
sapinuh	adjektiva
penyon	adjektiva
peot	adjektiva
kaperakan	adjektiva
kaperak-perakan	adjektiva
geutah	adjektiva
percuma	adjektiva
haratis	adjektiva
periodik	adjektiva
perih	adjektiva
pedih	adjektiva
perkosa	adjektiva
lalaunan	adjektiva
perlente	adjektiva
sarua 	adjektiva
sami	adjektiva
demes	adjektiva
pesimistis	adjektiva
bau hangseur	adjektiva
jago	adjektiva
picik	adjektiva
pikun	adjektiva
cingked	adjektiva
pinced	adjektiva
koneng pias	adjektiva
pangpinterna	adjektiva
gepeng	adjektiva
pirang	adjektiva
polos	adjektiva
populer	adjektiva
positip	adjektiva
prihatin	adjektiva
prima	adjektiva
puas	adjektiva
sugema	adjektiva
beger	adjektiva
pias	adjektiva
pucet	adjektiva
pucuk	adjektiva
kapuji	adjektiva
lamur	adjektiva
rawun	adjektiva
asa-asa	adjektiva
mandeg-mayong	adjektiva
rahayu	adjektiva
tingtrim	adjektiva
gambuhang	adjektiva
serakah	adjektiva
ngarahayat	adjektiva
ngarayat	adjektiva
darehdeh	adjektiva
someah	adjektiva
rapih	adjektiva
regas	adjektiva
rata-rata	adjektiva
umumna	adjektiva
reyem-reyem	adjektiva
manteng	adjektiva
teu kendor	adjektiva
rumaja	adjektiva
enteng	adjektiva
remuk	adjektiva
handap	adjektiva
renghat	adjektiva
beulah	adjektiva
bencah	adjektiva
anggang	adjektiva
rangu	adjektiva
uduh	adjektiva
resmi	adjektiva
rewel	adjektiva
suka	adjektiva
senang	adjektiva
gumbira	adjektiva
ajrih	adjektiva
rada era	adjektiva
soek	adjektiva
soeh	adjektiva
rubuh	adjektiva
rombeng	adjektiva
rontog	adjektiva
rugi	adjektiva
rukun	adjektiva
akur	adjektiva
ruksak	adjektiva
resak	adjektiva
teu aman	adjektiva
rudet	adjektiva
saban	adjektiva
unggal	adjektiva
sabar	adjektiva
pangsabarna	adjektiva
sedeng	adjektiva
burung	adjektiva
budug	adjektiva
rodek	adjektiva
geringan	adjektiva
suci	adjektiva
karamat	adjektiva
sakaratul maot	adjektiva
sakarat	adjektiva
saksama	adjektiva
sakti	adjektiva
nyalahartikeun	adjektiva
soleh	adjektiva
lapat-lapat	adjektiva
sangsi	adjektiva
cangcaya	adjektiva
rineh	adjektiva
salse	adjektiva
adab	adjektiva
sopan	adjektiva
hiji-hijina	adjektiva
nyaah	adjektiva
lapat	adjektiva
meujeuhna	adjektiva
sedep	adjektiva
wegah	adjektiva
hoream	adjektiva
segen	adjektiva
jajag	adjektiva
iuh	adjektiva
salamet	adjektiva
wilujeng	adjektiva
silidik	adjektiva
heureuy	adjektiva
bareureus	adjektiva
sambarang	adjektiva
sambarangan	adjektiva
tambarakan	adjektiva
mejen	adjektiva
kebebeng	adjektiva
meleber	adjektiva
melenghir	adjektiva
heureut	adjektiva
heurin	adjektiva
sampurna	adjektiva
muga-muga	adjektiva
mugia	adjektiva
semu	adjektiva
singsireumeun	adjektiva
bungan	adjektiva
nalangsa	adjektiva
geumpeur	adjektiva
ngirung	adjektiva
sensasional	adjektiva
sensitip	adjektiva
raharja	adjektiva
sentral	adjektiva
jempling	adjektiva
combrek	adjektiva
sapagodos	adjektiva
sapuk	adjektiva
kesed	adjektiva
ngahiliwir	adjektiva
peura	adjektiva
peuyeuh	adjektiva
harmonis	adjektiva
rampak	adjektiva
babarengan	adjektiva
serengeh	adjektiva
soson-soson	adjektiva
serong	adjektiva
pikaresepeun	adjektiva
semplek	adjektiva
ngagero	adjektiva
ngajak	adjektiva
sesek	adjektiva
kasasar	adjektiva
kasarung	adjektiva
bela	adjektiva
sue	adjektiva
beurang-beurang	adjektiva
kabeurangan	adjektiva
kasiangan	adjektiva
percumah	adjektiva
riweuh	adjektiva
paciweh	adjektiva
tanginas	adjektiva
parigel	adjektiva
kaliwat	adjektiva
serab	adjektiva
hiliwir	adjektiva
simbulis	adjektiva
simetris	adjektiva
sederhana	adjektiva
singset	adjektiva
ngewa	adjektiva
sipil	adjektiva
rahayat	adjektiva
sipit	adjektiva
petet	adjektiva
sirna	adjektiva
siwer	adjektiva
selebor	adjektiva
dangdan	adjektiva
luis	adjektiva
solider	adjektiva
suing	adjektiva
kaburitan	adjektiva
sosial	adjektiva
sepiritual	adjektiva
dadakan	adjektiva
sepontan	adjektiva
statis	adjektiva
steril	adjektiva
strategis	adjektiva
subur	adjektiva
sugih	adjektiva
suka duka	adjektiva
sasuka	adjektiva
saseneng	adjektiva
hese	adjektiva
sukarela	adjektiva
suka bungah	adjektiva
sukses	adjektiva
bangga	adjektiva
nyumbang	adjektiva
suwing	adjektiva
sundel	adjektiva
enya	adjektiva
rempan	adjektiva
sungsang	adjektiva
saat	adjektiva
susila	adjektiva
swasta	adjektiva
hidmat	adjektiva
taat asas	adjektiva
tabah	adjektiva
tabah hate	adjektiva
tahan	adjektiva
seukeut	adjektiva
takabur	adjektiva
kataji	adjektiva
kira-kira	adjektiva
tama	adjektiva
tanggap	adjektiva
tanggung	adjektiva
tanggung bulan	adjektiva
rancinges	adjektiva
tanjak	adjektiva
tawar	adjektiva
sakandel	adjektiva
teges	adjektiva
tega	adjektiva
ajeg	adjektiva
tegep	adjektiva
teger	adjektiva
panceg	adjektiva
tekun	adjektiva
tandes	adjektiva
telat	adjektiva
talaten	adjektiva
teler	adjektiva
kawentar	adjektiva
hapeuk	adjektiva
nu tangtu	adjektiva
tepat	adjektiva
tepos	adjektiva
panas mentrang	adjektiva
panas ngabetrak	adjektiva
teritorial	adjektiva
olohok	adjektiva
tartib	adjektiva
unggal-unggal	adjektiva
saban-saban	adjektiva
timbal	adjektiva
timbal balik	adjektiva
timbang	adjektiva
satimpal	adjektiva
cingkud	adjektiva
ipis	adjektiva
boloho	adjektiva
top	adjektiva
puncak	adjektiva
tradisional	adjektiva
tragis	adjektiva
transitip	adjektiva
transparan	adjektiva
ngalangkan	adjektiva
tembus cahaya	adjektiva
tilu warna	adjektiva
tropis	adjektiva
kolot pisan	adjektiva
kolot kampung	adjektiva
kolot teuing	adjektiva
nganggur	adjektiva
galandangan	adjektiva
rengse	adjektiva
beres	adjektiva
wekel	adjektiva
mahir	adjektiva
pinunjul	adjektiva
udar	adjektiva
ngurutkeun	adjektiva
utami	adjektiva
utuh	adjektiva
uzur	adjektiva
soheh	adjektiva
vital	adjektiva
pokok	adjektiva
saujratna	adjektiva
waswas	adjektiva
witir	adjektiva
yakin	adjektiva
yatim	adjektiva
yatim pahatu	adjektiva
abot	adjektiva
aduh	adjektiva
agamana	adjektiva
ahir-ahir	adjektiva
ahirna	adjektiva
ahlak	adjektiva
ajenan	adjektiva
akar-akarna	adjektiva
alanyar	adjektiva
aleman	adjektiva
alesanana	adjektiva
ampeg	adjektiva
angluh	adjektiva
apek	adjektiva
arum	adjektiva
ateul	adjektiva
atoh	adjektiva
atra	adjektiva
aub	adjektiva
auh	adjektiva
awet	adjektiva
ayaan	adjektiva
babu	adjektiva
bacin	adjektiva
badag	adjektiva
badegong	adjektiva
badeolan	adjektiva
bagedur	adjektiva
balilu	adjektiva
basa	adjektiva
batan	adjektiva
bayuhyuh	adjektiva
belegug	adjektiva
belemo	adjektiva
belengep	adjektiva
beler	adjektiva
belok	adjektiva
bera	adjektiva
betot	adjektiva
beueus	adjektiva
beuleum	adjektiva
beunghar	adjektiva
beureum	adjektiva
biko	adjektiva
bingah	adjektiva
bitan	adjektiva
bobot	adjektiva
bocokok	adjektiva
bodas	adjektiva
bohak	adjektiva
bonto	adjektiva
borangan	adjektiva
boek	adjektiva
bujeng	adjektiva
bulao	adjektiva
buligir	adjektiva
buntut	adjektiva
bureuteu	adjektiva
burey	adjektiva
buyatak	adjektiva
beda	adjektiva
berendel	adjektiva
cacap	adjektiva
caket	adjektiva
caliweura	adjektiva
cekip	adjektiva
celi	adjektiva
cerah	adjektiva
ceuceub	adjektiva
ceumeung	adjektiva
comro	adjektiva
dangka	adjektiva
darapon	adjektiva
daria	adjektiva
depa	adjektiva
deuheus	adjektiva
dorong	adjektiva
deoh	adjektiva
efisien	adjektiva
eutik	adjektiva
gampil	adjektiva
ganep	adjektiva
garok	adjektiva
gaya	adjektiva
geblah-gebloh	adjektiva
gebloh	adjektiva
gegetun	adjektiva
gemboy	adjektiva
gimbir	adjektiva
ginding	adjektiva
giruk	adjektiva
gumira	adjektiva
gurih	adjektiva
hade	adjektiva
haleungheum	adjektiva
handaruan	adjektiva
handeueul	adjektiva
hangseur	adjektiva
hareeng	adjektiva
harua	adjektiva
harum	adjektiva
hawatos	adjektiva
hejo	adjektiva
hideung	adjektiva
hirup	adjektiva
honeng	adjektiva
hulap	adjektiva
hurip	adjektiva
hegar	adjektiva
hengker	adjektiva
indung	adjektiva
janglar	adjektiva
jebrog	adjektiva
jeding	adjektiva
jegu	adjektiva
jembar	adjektiva
jengil	adjektiva
jengker	adjektiva
jenuk	adjektiva
jumeneng	adjektiva
kabintrang	adjektiva
kaciri	adjektiva
kadeuleu	adjektiva
kaduhung	adjektiva
kagum	adjektiva
kaguyuban	adjektiva
kakandungan	adjektiva
karangsang	adjektiva
karesep	adjektiva
kareueut	adjektiva
kari	adjektiva
katara	adjektiva
katawis	adjektiva
kateken	adjektiva
katingal	adjektiva
katingali	adjektiva
kebel	adjektiva
kejeng	adjektiva
kiat	adjektiva
kirang	adjektiva
kiwa	adjektiva
kodol	adjektiva
kokoro	adjektiva
koneng	adjektiva
koret	adjektiva
kulawu	adjektiva
kuru	adjektiva
kenca	adjektiva
lada	adjektiva
lali	adjektiva
lamokot	adjektiva
lana	adjektiva
langki	adjektiva
langsip	adjektiva
larangan	adjektiva
laer	adjektiva
ledok	adjektiva
legih	adjektiva
lenyah	adjektiva
leueur	adjektiva
leuit	adjektiva
leukleuk	adjektiva
limpeuran	adjektiva
lingsem	adjektiva
liwung	adjektiva
lojor	adjektiva
lesang	adjektiva
mahi	adjektiva
mamajeng	adjektiva
mamayu	adjektiva
mencos	adjektiva
mending	adjektiva
mengi	adjektiva
merenah	adjektiva
miwarang	adjektiva
motekar	adjektiva
menel	adjektiva
ngaruksak	adjektiva
nyaan	adjektiva
nyalira	adjektiva
nyangu	adjektiva
nyenyepan	adjektiva
pageto	adjektiva
pahang	adjektiva
palay	adjektiva
palay ngaleueut	adjektiva
pamungkas	adjektiva
paos	adjektiva
parek	adjektiva
paturay	adjektiva
pegat	adjektiva
pejet	adjektiva
pelik	adjektiva
perceka	adjektiva
pribadi	adjektiva
pribados	adjektiva
pundung	adjektiva
pundungan	adjektiva
pupulasan	adjektiva
ranyedan	adjektiva
