kata,sinonim
kaudag,bisa diudag
cagak,"sirung,cabang"
cabangan,"ngabogaan cabang,cagakan"
soeh,"ngangkarawak,soek"
rawing,rawek
nyoeh-nyoeh,nyoeknyoek
kasoehkeun,kasoekkeun
ngagadabah,ngagunasika
nyempad,"nyarekan,nyawad,maido"
cadang,serep
nyadangkeun,nyerepan
cadar,kukudung
cahaya,"cahya,sinar"
obrolan,"wangkongan,guneman,ocehan"
bawel,cerewed
calon,bakal
pecut,cameti
kaalungkeun,"kapiceun,kabalangkeun"
campuran,"gabungan,kombinasi"
nyampur,"pacampur,pagalo"
kacantel,kakait
cantelan,cacantel
kacatet,kamuat
kahontal,"laksana,tinekanan"
ngalegleg,ngarebut
karampas,"karebut,kajabel"
rangsom,jatah
cebur,cemplung
nyebur,ancrub
nyeburkeun,nyemplungkeun
kacebur,kacemplung
kacegah,kacaram
rikat,"tangginas,singer"
cekong,legok
cawad,"hinaan,kritikan,carekan"
cilaka,sial
kacilakaan,musibah
camerong,caremot
kotor,butut
ngotoran,ngagogoreng
ngotorkeun,ngaruksak
hariwang,"paur,risi"
kasieunan,kahariwangan
camerut,"baeud,merengut,baketut"
kembu,kembung
katimburuan,kacurigaan
abar,"cahayaan,moronyoy"
cempadan,ngahina
supa,"suung,jamur"
bulukan,jamuran
sagancangna,saenggalna
bengras,lenglang
kapinteran,"kalicikan,kacurangan"
ceritaan,"omongan,ucapan,ucap"
taliti,talete
mikacinta,"mikabogoh,mikadeudeuh"
tanda,"ciri,wates"
gambaran,wangwangan
cium,"ambung,sun"
silihcium,pacium-cium
ngesun,ngambung
nyiumkeun,ngambungkeun
kacium,kaambung
coba,cobi
nojos,"nusuk,nubles"
nojoskeun,"nyeumatkeun,nyolokkeun,nubleskeun"
kacolok,"katojos,katubles"
nyocol,nyoel
cocodot,lalay
maok,"ngabangsat,maling,nyokot"
kamalingan,kabangsatan
kalomberan,koco
mocot,mecat
ngucur,nyuruluk
nyeuseuh,ngumbah
nyeuseuhkeun,"mangnyeuseuhkeun,ngumbahkeun"
kaseuseuh,kakumbah
seuseuheun,kumbaheun
cukur,paras
nyukur,maras
cumah,percumah
ngamercumahkeun,haratis
siliholo,"silihoconan,silihrangkul"
ngarayu,ngolo
ngutip,"nyalin,nurun,nulad,nyipuh,narjamahkeun"
kutipan,cuplikan
mahekeun,ngalimpahkeun
curang,licik
kapalingan,kaleungitan
cuti,perlop
ngadacinan,ngiloan
daerah,"wilayah,wewengkon"
dagang,"jualan,jual beli,icalan,usaha"
dagingan,aya dagingna
reuhakan,ngaluarkeun reuhak
boga dahan,dahanan
aya dahanan,mimiti sirungan
karongkahan,kahebatan
kataerkan,bisa ditaekan
tanjakan,hasil naekan
dakwa,dawa
ngadakwa,ngadawa
ngadakwaan,nungtut
ngadakwakeun,ngadawakeun
nu didakwa,nu didawa
nu ngadakwa,nu ngadawa
dakwaan,dawaan
asup ka jero,"ngajeroan,nganteubkeun"
nekunan,meuleuman
mikahayang,ngarepkeun
mangaruhan,ngakibatkeun
talaga,situ
deet,cetek
meunang,"narima,nampi,kenging,keuna,beunang"
pamadegan,buah pamikiran
sameunangna,saayana
dapur,pawon
parawan,mojang
getihan,ngaluarkeun getih
darat,lemah
ngadarat,balabuh
tina,ti
pelesir,"nyaba,piknik,pakanci,pere"
alas,dadasar
dumasar kana,"nurutkeun,ngagugu"
ngadatangan,"nganjangan,nyanghareup"
kadatangan,datangna
datar,rata
daunan,boga daun
kawatan,aya kawatna
ratug,"raratug,keketegan"
debat,sawala
lebu,kekebul
lebuan,ngebul
pangbakti,pangabdian
padeukeut,deukeut jeung
nyampeurkeun,ngadeukeutan
tetembangan,ngahariring
ngahariringkeun,"nembangkeun,ngalagukeun"
kere,dendeng
ngadengekeun,ngaregepkeun
dengki,ngadengki
nu sirikan,nu dengki
keteg,"nyed-nyedan,enyud-enyudan"
panghareupna,pangpayunna
derma,sidekah
nu berehan,tukang derma
desa,"dusun,kampung"
padesaan,padusunan
kasedek,kadeseh
beungkeut sirah,sorban
dewasa,sawawa
panyakit gula,diabetes
cicing-cicing,"rerencepan,susulumputan"
sideang,siduru
nu ngadidik,"nu ngatik,guru"
saeutik,sakedik
dingding,pipinding
tiis,"tiris,tiuh"
niiskeun,niriskeun
katiisan,katirisan
direktris,direktur
dirgantara,"langit,awang-awang"
awak,"badan,raga,badan"
nangtungkeun,"ngadegkeun,ngawangun"
nyiram,"nyebor,ngabanjur"
tigin,"taat,tuhu kana peraturan"
dobel,rangkep dua
landung,ngoyondon
